Name,Diet,State,Price,City
Keerai kootu,vegetarian,Tamil Nadu,124,Chennai
Papad,vegetarian,Unknown,24,Mumbai
Kachori,vegetarian,Uttar Pradesh,50,Varanasi
Balu shahi,vegetarian,West Bengal,45,Kolkata
Keri no ras,vegetarian,Gujarat,121,Junagadh
Gajar ka halwa,vegetarian,Punjab,40,Ludhiana
Payokh,vegetarian,Assam,60,Tezpur
Bhatura,vegetarian,Punjab,119,Amritsar
Keerai kootu,vegetarian,Tamil Nadu,129,Chennai
Konir Dom,non vegetarian,Assam,96,Guwahati
Rasam,vegetarian,Unknown,99,Chennai
Saath,vegetarian,Gujarat,116,Surat
Gavvalu,vegetarian,Andhra Pradesh,50,Vijayawada
Puli sadam,vegetarian,Tamil Nadu,133,Chennai
Imarti,vegetarian,West Bengal,45,Kolkata
Kofta,vegetarian,Uttar Pradesh,77,Lucknow
Kanji,vegetarian,Kerala,31,Kochi
Keerai masiyal,vegetarian,Tamil Nadu,103,Chennai
Mawa Bati,vegetarian,Madhya Pradesh,56,Bhopal
Kuzhakkattai,vegetarian,Tamil Nadu,94,Chennai
Masor Koni,non vegetarian,Assam,141,Guwahati
Copra paak,vegetarian,Gujarat,82,Surat
Aloo gobi,vegetarian,Punjab,131,Amritsar
Imarti,vegetarian,West Bengal,42,Kolkata
Sukhdi,vegetarian,Maharashtra,66,Mumbai
Modak,vegetarian,Maharashtra,61,Pune
Chevdo,vegetarian,Gujarat,40,Vadodara
Kutchi dabeli,vegetarian,Gujarat,57,Mandvi
Phirni,vegetarian,Odisha,28,Cuttack
Payasam,vegetarian,Unknown,50,Trivandrum
Bhatura,vegetarian,Punjab,120,Amritsar
Mushroom matar,vegetarian,Punjab,113,Chandigarh
Puri Bhaji,vegetarian,Maharashtra,147,Mumbai
Dahi vada,vegetarian,Maharashtra,34,Mumbai
Bhindi masala,vegetarian,Punjab,134,Ludhiana
Vegetable jalfrezi,vegetarian,Punjab,92,Chandigarh
Sukhdi,vegetarian,Maharashtra,60,Mumbai
Jalebi,vegetarian,Uttar Pradesh,46,Varanasi
Chole bhature,vegetarian,Punjab,112,Amritsar
Sandesh,vegetarian,West Bengal,60,Kolkata
Dal makhani ,vegetarian,Punjab,122,Amritsar
Zunka,vegetarian,Maharashtra,135,Pune
Pakhala,vegetarian,Odisha,136,Bhubaneswar
Sandige,vegetarian,Karnataka,135,Mangalore
Payasam,vegetarian,Unknown,52,Trivandrum
Rajma chaval,vegetarian,Punjab,93,Pathankot
Balu shahi,vegetarian,West Bengal,48,Kolkata
Pesarattu,vegetarian,Andhra Pradesh,24,Vijayawada
Pesarattu,vegetarian,Andhra Pradesh,26,Vijayawada
Pani Pitha,vegetarian,Assam,77,Guwahati
Pesarattu,vegetarian,Andhra Pradesh,22,Vijayawada
Churma Ladoo,vegetarian,Rajasthan,29,Jaipur
Khakhra,vegetarian,Gujarat,62,Rajkot
Daal baati churma,vegetarian,Rajasthan,87,Jaipur
Thepla,vegetarian,Gujarat,52,Ahmedabad
Dhondas,vegetarian,Maharashtra,64,Ratnagiri
Upma,vegetarian,Unknown,36,Chennai
Kuzhakkattai,vegetarian,Tamil Nadu,96,Chennai
Sheera,vegetarian,Maharashtra,80,Mumbai
Churma Ladoo,vegetarian,Rajasthan,29,Jaipur
Laddu,vegetarian,Unknown,42,New Delhi
Bhatura,vegetarian,Punjab,122,Amritsar
Galho,non vegetarian,Nagaland,128,Kohima
Navrattan korma,vegetarian,Uttar Pradesh,143,Lucknow
Bebinca,vegetarian,Goa,55,Panaji
Kuzhambu,vegetarian,Tamil Nadu,118,Chettinad
Jalebi,vegetarian,Uttar Pradesh,50,Varanasi
Dal tadka,vegetarian,Punjab,108,Chandigarh
Bajri no rotlo,vegetarian,Gujarat,145,Rajkot
Thayir sadam,vegetarian,Tamil Nadu,94,Chennai
Uttapam,vegetarian,Unknown,57,Chennai
Anarsa,vegetarian,Maharashtra,36,Nashik
Jeera Aloo,vegetarian,Gujarat,87,Ahmedabad
Copra paak,vegetarian,Gujarat,86,Surat
Kutchi dabeli,vegetarian,Gujarat,62,Mandvi
Handwo,vegetarian,Gujarat,29,Ahmedabad
Kabiraji,non vegetarian,West Bengal,118,Kolkata
Khar,vegetarian,Assam,111,Guwahati
Payasam,vegetarian,Unknown,51,Trivandrum
Pootharekulu,vegetarian,Andhra Pradesh,66,Atreyapuram
Palathalikalu,vegetarian,Andhra Pradesh,43,Amalapuram
Vegetable jalfrezi,vegetarian,Punjab,101,Chandigarh
Amti,vegetarian,Maharashtra,102,Pune
Pani Pitha,vegetarian,Assam,85,Guwahati
Chana masala,vegetarian,Punjab,116,Amritsar
Qubani ka meetha,vegetarian,Telangana,47,Hyderabad
Gulab jamun,vegetarian,West Bengal,25,Kolkata
Naan,vegetarian,Punjab,125,Amritsar
Chorafali,vegetarian,Gujarat,56,Ahmedabad
Keerai masiyal,vegetarian,Tamil Nadu,103,Chennai
Kuzhambu,vegetarian,Tamil Nadu,118,Chettinad
Aloo gobi,vegetarian,Punjab,127,Amritsar
Vindaloo,non vegetarian,Goa,146,Panaji
Laapsi,vegetarian,Madhya Pradesh,115,Indore
Currivepillai sadam ,vegetarian,Tamil Nadu,130,Chennai
Keerai sadam,vegetarian,Tamil Nadu,119,Chennai
Aloo methi,vegetarian,Punjab,144,Amritsar
