City,Ratings,Ideal_duration,best_time,desc,Cluster,State,Unnamed: 7
Manali,4.5,2-4 days,October-June,[' One of the most popular hill stations in Himachal...'],4,Himachal Pradesh,
Leh Ladakh,4.6,5-7 days,July-October,"["" Ladakh is a union territory...""]",0,Ladakh,
Coorg,4.2,2-3 days,September-June,[' Located amidst imposing mountains in Karnataka...'],0,Karnataka,
Andaman,4.5,4-6 days,October-March,[' Replete with turquoise blue water beaches...'],0,Andaman And Nicobar Islands,
Lakshadweep,4,4-6 days,September-February,"["" Formerly known as Laccadive Islands...""]",2,Lakshadweep,
Goa,4.5,3-7 days,November-February,"["" Lying on the western coast...""]",0,Goa,
Udaipur,4.3,2-3 days,October-March,"[' Udaipur, also known as the City of Lakes...']",0,Rajasthan,
Srinagar,4.5,3-5 days,April-October,"["" Famously known as 'Heaven on Earth...""]",0,Jammu And Kashmir,
Gangtok,4.4,2-4 days,March-June,"[' Incredibly alluring, pleasantly boisterous...']",0,Sikkim,
Munnar,4.5,2-3 days,September-March,[' Munnar is a town in the Western Ghats...'],0,Kerala,
Varkala,4.3,2-3 days,October-March,[' Varkala is a coastal town...'],0,Kerala,
Mcleodganj,4.3,2-3 days,October-June,[' Mcleodganj is a hill station...'],4,Himachal Pradesh,
Rishikesh,4.4,2-3 days,September-June,[' Rishikesh is a city in India’s northern state...'],4,Uttarakhand,
Alleppey,4.3,2-3 days,June-March,[' Alappuzha (or Alleppey) is a city...'],0,Kerala,
Darjeeling,4.2,2-3 days,April-June,[' Darjeeling is a town in India...'],4,West Bengal,
Nainital,4.2,2-3 days,March-June,[' Nainital is a Himalayan resort town...'],4,Uttarakhand,
Shimla,4.2,2-3 days,March-June,[' Shimla is the capital of the northern Indian state...'],4,Himachal Pradesh,
Ooty,4.3,2-3 days,October-June,[' Ooty is a resort town...'],4,Tamil Nadu,
Jaipur,4.3,2-3 days,October-March,[' Jaipur is the capital of India’s Rajasthan state...'],0,Rajasthan,
Lonavala,4.1,1-2 days,October-May,[' Lonavala is a hill station...'],4,Maharashtra,
Mussoorie,4.2,2-3 days,September-June,[' Mussoorie is a hill station...'],4,Uttarakhand,
