Name,Diet,State,Price
Keerai kootu,vegetarian,Tamil Nadu,124
Papad,vegetarian,Unknown,24
Kachori,vegetarian,Uttar Pradesh,50
Balu shahi,vegetarian,West Bengal,45
Keri no ras,vegetarian,Gujarat,121
Gajar ka halwa,vegetarian,Punjab,40
Payokh,vegetarian,Assam,60
Bhatura,vegetarian,Punjab,119
Keerai kootu,vegetarian,Tamil Nadu,129
Konir Dom,non vegetarian,Assam,96
Rasam,vegetarian,Unknown,99
Saath,vegetarian,Gujarat,116
Gavvalu,vegetarian,Andhra Pradesh,50
Puli sadam,vegetarian,Tamil Nadu,133
Imarti,vegetarian,West Bengal,45
Kofta,vegetarian,Uttar Pradesh,77
Kanji,vegetarian,Kerala,31
Keerai masiyal,vegetarian,Tamil Nadu,103
Mawa Bati,vegetarian,Madhya Pradesh,56
Kuzhakkattai,vegetarian,Tamil Nadu,94
Masor Koni,non vegetarian,Assam,141
Copra paak,vegetarian,Gujarat,82
Aloo gobi,vegetarian,Punjab,131
Imarti,vegetarian,West Bengal,42
Sukhdi,vegetarian,Maharashtra,66
Modak,vegetarian,Maharashtra,61
Chevdo,vegetarian,Gujarat,40
Kutchi dabeli,vegetarian,Gujarat,57
Phirni,vegetarian,Odisha,28
Payasam,vegetarian,Unknown,50
Bhatura,vegetarian,Punjab,120
Mushroom matar,vegetarian,Punjab,113
Puri Bhaji,vegetarian,Maharashtra,147
Dahi vada,vegetarian,Maharashtra,34
Bhindi masala,vegetarian,Punjab,134
Vegetable jalfrezi,vegetarian,Punjab,92
Sukhdi,vegetarian,Maharashtra,60
Jalebi,vegetarian,Uttar Pradesh,46
Chole bhature,vegetarian,Punjab,112
Sandesh,vegetarian,West Bengal,60
Dal makhani ,vegetarian,Punjab,122
Zunka,vegetarian,Maharashtra,135
Pakhala,vegetarian,Odisha,136
Sandige,vegetarian,Karnataka,135
Payasam,vegetarian,Unknown,52
Rajma chaval,vegetarian,Punjab,93
Balu shahi,vegetarian,West Bengal,48
Pesarattu,vegetarian,Andhra Pradesh,24
Pesarattu,vegetarian,Andhra Pradesh,26
Pani Pitha,vegetarian,Assam,77
Pesarattu,vegetarian,Andhra Pradesh,22
Churma Ladoo,vegetarian,Rajasthan,29
Khakhra,vegetarian,Gujarat,62
Daal baati churma,vegetarian,Rajasthan,87
Thepla,vegetarian,Gujarat,52
Dhondas,vegetarian,Maharashtra,64
Upma,vegetarian,Unknown,36
Kuzhakkattai,vegetarian,Tamil Nadu,96
Sheera,vegetarian,Maharashtra,80
Churma Ladoo,vegetarian,Rajasthan,29
Laddu,vegetarian,Unknown,42
Bhatura,vegetarian,Punjab,122
Galho,non vegetarian,Nagaland,128
Navrattan korma,vegetarian,Uttar Pradesh,143
Bebinca,vegetarian,Goa,55
Kuzhambu,vegetarian,Tamil Nadu,118
Jalebi,vegetarian,Uttar Pradesh,50
Dal tadka,vegetarian,Punjab,108
Bajri no rotlo,vegetarian,Gujarat,145
Thayir sadam,vegetarian,Tamil Nadu,94
Uttapam,vegetarian,Unknown,57
Anarsa,vegetarian,Maharashtra,36
Jeera Aloo,vegetarian,Gujarat,87
Copra paak,vegetarian,Gujarat,86
Kutchi dabeli,vegetarian,Gujarat,62
Handwo,vegetarian,Gujarat,29
Kabiraji,non vegetarian,West Bengal,118
Khar,vegetarian,Assam,111
Payasam,vegetarian,Unknown,51
Pootharekulu,vegetarian,Andhra Pradesh,66
Palathalikalu,vegetarian,Andhra Pradesh,43
Vegetable jalfrezi,vegetarian,Punjab,101
Amti,vegetarian,Maharashtra,102
Pani Pitha,vegetarian,Assam,85
Chana masala,vegetarian,Punjab,116
Qubani ka meetha,vegetarian,Telangana,47
Gulab jamun,vegetarian,West Bengal,25
Naan,vegetarian,Punjab,125
Chorafali,vegetarian,Gujarat,56
Keerai masiyal,vegetarian,Tamil Nadu,103
Kuzhambu,vegetarian,Tamil Nadu,118
Aloo gobi,vegetarian,Punjab,127
Vindaloo,non vegetarian,Goa,146
Laapsi,vegetarian,Madhya Pradesh,115
Currivepillai sadam ,vegetarian,Tamil Nadu,130
Keerai sadam,vegetarian,Tamil Nadu,119
Aloo methi,vegetarian,Punjab,144
Currivepillai sadam ,vegetarian,Tamil Nadu,133
Sattu ki roti,vegetarian,Bihar,133
Petha,vegetarian,Uttar Pradesh,65
Mahim halwa,vegetarian,Maharashtra,59
Samosa,vegetarian,Uttar Pradesh,25
Chicken Tikka masala,non vegetarian,Punjab,137
Muthiya,vegetarian,Gujarat,56
Prawn malai curry,non vegetarian,West Bengal,95
Pesarattu,vegetarian,Andhra Pradesh,25
Sheer korma,vegetarian,Telangana,82
Bajri no rotlo,vegetarian,Gujarat,142
Kadhi pakoda,vegetarian,Haryana,115
Chingri malai curry,non vegetarian,West Bengal,116
Balu shahi,vegetarian,West Bengal,49
Poriyal,vegetarian,Tamil Nadu,148
Qubani ka meetha,vegetarian,Telangana,50
Saath,vegetarian,Gujarat,117
Veg Kolhapuri,vegetarian,Maharashtra,104
Upma,vegetarian,Unknown,37
Pesarattu,vegetarian,Andhra Pradesh,22
Chhena kheeri,vegetarian,Odisha,80
Red Rice,vegetarian,Unknown,133
Rajma chaval,vegetarian,Punjab,96
Surnoli,vegetarian,Maharashtra,24
Halvasan,vegetarian,Gujarat,58
Khar,vegetarian,Assam,111
Copra paak,vegetarian,Gujarat,80
Biryani,non vegetarian,Telangana,143
Mihidana,vegetarian,West Bengal,39
Sambar,vegetarian,Unknown,84
Veg Kolhapuri,vegetarian,Maharashtra,105
Payasam,vegetarian,Unknown,59
Kos kootu,vegetarian,Tamil Nadu,129
Surnoli,vegetarian,Maharashtra,32
Chhena poda,vegetarian,Odisha,37
Misti doi,vegetarian,West Bengal,38
